hazard,Aspect,HumanImpactIndexMean,LandCover,NDMI,NDVI,Precipitation,Slope,SoilMoist,TempMax,TempMin,WaterDeficit,WindSpeed,idx
1,67.82955,1918.05,9,0.21020597,0.5878516,68,4.8273783,221.5,189,85.5,94.5,428.6666667,3
1,113.65963,2283.4,9,0.1519602,0.47521335,72.5,0.3611204,201.5,190,89.5,81,469.625,4
1,227.15575,932,10,0.17768349,0.579388,68.5,0.042623162,354.75,278,196.5,268.25,286,0
1,0,1049.5,10,0.034604073,0.47643554,70.6,0.028984088,468.75,282,201,267.5,309.5,1
1,331.64316,1128.2,17,0.085239395,0.54993004,72.5,0.06587241,361.25,276,198,238.5,320.1666667,2
1,65.093155,1780.1,10,0.15555887,0.56525075,66.25,0.06882223,415.5,283,199.5,281.5,280.1666667,3
1,270,2521.95,10,0.10660645,0.49077415,65.5,0.031222297,382.5,283.5,199.5,279.25,270.125,4
1,113.08415,673.3,9,0.049241457,0.5116824,83.83333333,0.07392339,281,246,125.5,100.3333333,323,0
1,299.8907,282.5,10,0.39118508,0.68632394,85,0.75604266,206,236.5,123,123.875,431,1
1,249.0941,993.5,10,0.022419678,0.44199747,70.33333333,0.40612155,152.7,232.5,122.5,128.3333333,290,2
1,217.92873,687.05,9,0.11605058,0.55714905,87.625,0.11023682,275.5,249.5,130,79.375,324.5,3
1,14.573215,1943.25,9,0.14718853,0.5398813,96.5,0.2695264,267.5,249,130,44.5,330,4
1,270,411.05,10,-0.06721451,0.2598706,118.75,0.029024342,2459,333,234,18.5,110,0
1,100.943794,69.95,2,0.293328,0.6662191,131.375,4.5704293,3620.5,322,221,0,111,1
1,45.028313,201,2,-0.031197233,0.340966,92.75,0.04100996,3316,330,236,128,113,2
1,92.38322,331.45,2,0.20137967,0.5401191,105.75,0.69698423,3401.5,326.5,232,78,114,3
1,116.5351,179,2,0.12183015,0.49018455,117.2,0.12975624,2823.5,333.5,233,14.26282051,111.1583333,4
1,80.57143,53.15,2,0.1360479,0.551181,233.6666667,0.17692807,2532,325,237,0,140,0
1,296.48828,289,2,0.020596031,0.41049773,222.625,0.12996893,2456,323,234.5,0.028846154,140,1
1,128.55328,201.25,2,0.328015,0.6795664,212,0.37203747,2669,332.5,235,0,138,2
1,153.35657,256.9,2,0.093165584,0.53074074,230.625,0.12970942,2502,325,235,0.028301887,140,3
1,324.3658,425.15,2,-0.042451486,0.38324532,219.5714286,0.2496297,2581,327,236,0,139.5,4
1,27.273252,522.45,17,0.14984974,0.5328882,39,5.6232696,1071.25,300.5,227.5,503,290.3333333,0
1,233.18616,1879.9,17,0.17375812,0.5272304,45,0.2902172,1117,303,232,434,329.5,1
1,17.136887,760.05,17,0.12192597,0.50027275,39,0.7885476,1071.25,300.5,227.5,503,290.3333333,2
1,106.65434,76.2,9,0.14145812,0.52740556,36,0.30339262,1057.5,309,224,587.5,276.5,3
1,53.20655,220.05,9,0.22409913,0.5750973,32.66666667,2.1766353,1105,307.5,224,606.3333333,268.6666667,4
1,277.88647,314.8,5,0.26407945,0.56476974,67.5,4.846868,440,138.5,36,44.5,454,0
1,342.97104,397.65,5,0.22037163,0.5009045,73,3.7232635,505.25,140,38.5,36.33333333,439.25,1
1,126.48101,298.8,5,0.20651028,0.50385636,67.5,3.1654677,440,138.5,36,44.5,454,2
1,349.71423,300.75,5,0.22531082,0.52608144,66.5,3.6184528,432.5,134.5,30.5,32.5,477,3
1,305.63312,370.2,5,0.16593394,0.46621326,71,7.9094005,499.75,134.5,31.5,20.76923077,470.3333333,4
1,36.87111,58.15,2,0.223454,0.51915276,156.8,0.28984305,909,320,225,0,115,0
1,45.00139,40.9,2,0.2165627,0.56724966,155.75,0.1639623,920,319.5,225.5,0.027777778,115,1
1,116.56467,28.8,2,0.26444864,0.5767947,155.5,0.06481125,790,321,226,0,114,2
1,149.0349,56.6,2,0.2602546,0.61212546,158.75,0.16900674,927,319,225,0.018518519,115,3
1,0,40.8,2,0.17703795,0.49361327,160.5,0.057968166,765,320,226,0,114,4
1,214.03363,958.4,10,-0.011666834,0.4086003,77.5,0.10492484,821.5,325,223.5,419,257,0
1,244.7069,1097.35,10,0.1105777,0.4877092,75.5,5.6126027,421.25,291,185,290.75,200,1
1,19.079622,1055.8,17,0.41409817,0.73466194,90.66666667,1.533078,426.5,302,212,347,299.25,2
1,85.22088,912.4,17,0.24307974,0.66915804,88.5,3.1278698,315.25,316,221,398.25,329.5714286,3
1,140.6245,485.2,17,0.28464183,0.67495614,97.16666667,3.7068594,497.25,308,211,268.6666667,310.375,4
1,261.96198,42.55,2,0.19851445,0.5792397,185.5,0.41455385,3106.25,317,221,0,114,0
1,90,286.75,2,0.20444536,0.61990136,178,0.29326618,2996,313,211,0,110,1
1,86.10295,27.55,2,0.3112127,0.6936801,158,0.8528623,3196.5,314,217,0,114.5,2
1,178.29507,50.05,2,0.38648215,0.7052585,161.75,0.9857983,3171,314,215,0,110,3
1,106.49755,57.55,2,0.36692902,0.7170836,161,0.30619472,3207,314,217,0,119,4
1,239.13208,57.85,9,-0.05715236,0.37948236,85,1.2426403,1233,321,204,328.5,151,0
1,96.828865,694.95,9,-0.039490312,0.36090034,82.75,1.218616,684.5,319,198,293.3333333,150,1
1,254.96626,328.45,10,-0.012471947,0.36727014,84.66666667,1.0055604,1111,314,192,238.75,140.2,2
1,334.86588,581.05,10,0.045061797,0.4737063,78,0.8323429,806,318,194.5,303.4166667,140.1428571,3
1,162.37416,406.3,10,0.023469824,0.3772595,76.5,0.9730839,717.5,319,196,320.5,140.2,4
1,193.67267,1022.75,17,0.037072036,0.29878432,2.008928571,3.8719168,2.975,222.5,130.5,758.75,315,0
1,269.02167,868.6,16,0.004142413,0.34973556,1.292134831,19.572002,48.1,180,46,771,296.5,1
1,290.4033,963.45,16,-0.11068804,0.2486148,2.320987654,4.066923,68.88888889,124,-8.5,569,361,2
1,201.01973,1103.35,17,-0.119570844,0.14342718,2.008928571,9.234287,2.975,222.5,130.5,758.75,315,3
1,200.5146,1088.85,17,-0.029496014,0.22639325,2.008928571,8.871984,2.975,222.5,130.5,758.75,315,4
1,74.78324,512.8,7,-0.102408245,0.3174118,2,2.7585564,36,190,72,869,321.5,0
1,271.19418,798.6,7,-0.057632297,0.32809946,2,13.643295,36.85714286,189.5,73.5,851,339.5,1
1,76.24918,473.7,7,-0.1594709,0.26712698,2,6.916544,32.5,204,96.5,823,305.5,2
